dc data some heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Block,Time Desc,CGPL(0),GADARWARA-I(0),GANDHAR-APM(1),GANDHAR-ComGas(0),GANDHAR-NAPM(0),GANDHAR-RLNG(1),KAPS(0),KAWAS-APM(0),KAWAS-ComGas(0),KAWAS-NAPM(0),KAWAS-RLNG(0),KAWAS-zLIQ(0),KHARGONE-I(3),KSTPS I&II(0),KSTPS7(0),LARA-I(0),MOUDA(0),MOUDA_II(0),NSPCL(0),PENCH(0),RGPPL_IR(0),RGPPL_MSEB(0),RGPPL_OTHERS(0),SASAN(0),SIPAT I(0),SIPAT II(0),SOLAPUR(0),SSP(0),TAPS-I(0),TAPS-II(0),VSTPS I(5),VSTPS II(0),VSTPS III(0),VSTPS IV(0),VSTPS V(0),Grand Total
1,00:00-00:15,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
2,00:15-00:30,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
3,00:30-00:45,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
4,00:45-01:00,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
5,01:00-01:15,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
6,01:15-01:30,3800,750,280,0,0,355,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25352.31
7,01:30-01:45,3800,750,280,0,0,355,395,0,0,0,0,635,618.75,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25381.06
8,01:45-02:00,3800,750,280,0,0,355,395,0,0,0,0,635,618.75,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25381.06
9,02:00-02:15,3800,750,280,0,0,360,395,0,0,0,0,635,618.75,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25386.06
10,02:15-02:30,3800,750,280,0,0,360,395,0,0,0,0,635,618.75,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25386.06
11,02:30-02:45,3800,750,290,0,0,350,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25357.31
12,02:45-03:00,3800,750,290,0,0,350,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25357.31
13,03:00-03:15,3800,750,290,0,0,350,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25357.31
14,03:15-03:30,3800,750,290,0,0,350,395,0,0,0,0,635,590,1952.25,445.31,750,937.5,1237.5,455,0,540,87,33,3102,1856.25,937.5,1237.5,108,0,985,1080,464.75,937.5,937.5,463.75,25357.31
